Community,Twitter Handle,Similarity Score,Influence Score,Total Score
454,wisetech_,0.6929544110766963,1.6057015974054854e-06,0.5197162097329215
460,rashidshamim,0.692520427078009,1.3836378987666507e-05,0.5193937794032537
34,sisidoyin,0.6892855399055619,0.008904102491044152,0.5191901805519324
1264,gapinsurance123,0.6918959887000198,4.219808122068739e-05,0.51893254104532
1255,jojusolar,0.6907588006489349,1.7328323607187224e-05,0.518073432567603
976,markjcwalker,0.6902777820780155,5.752782754812982e-06,0.5177097747542002
937,apexedcarnality,0.6900242767753275,1.929516992398722e-05,0.5175230313739767
97,autotestdrivers,0.6875899542415853,0.006672964637415723,0.5173607068405429
593,globalj4l,0.6897695697996528,2.4040662503695624e-05,0.5173331875153655
629,madelineoldbrk,0.6895420318849408,4.619499773711764e-06,0.517157678788649
41,maaron333,0.6366267693366875,0.15849558482926807,0.5170939732098326
1124,nordensglobal,0.6893976094620675,1.0767088349834864e-05,0.5170508988686381
1324,newexpressnews,0.6890838238654277,7.294662634633833e-06,0.5168146915647295
1176,feagerricky,0.6889111759858817,1.2476563809044204e-06,0.5166836939035064
1034,downthedori,0.6888815461290543,2.6913886987551896e-06,0.5166618324439654
1265,incaaccountants,0.6881646372306754,1.3200537968980673e-05,0.5161267780574988
442,zanetticartoons,0.6877143513146217,0.00010146543465648191,0.5158111298446304
962,solarstoreukltd,0.6869999707812139,8.772700314090633e-05,0.5152719098366957
1562,h35861541105980,0.6867958346202867,3.800266795108413e-06,0.5150978260319138
1084,ronmc1,0.6864003709968318,1.5949534922722483e-05,0.5148042656313545
57,aijtaylor,0.6840585438834844,0.006675733062994328,0.5147128411783619
27,mabenafamily,0.6510442161853063,0.10566002602193413,0.5146981686444633
213,stancelamk,0.6855109015199962,0.0021672771076692234,0.5146749954169144
125,m_gahan,0.6837411361785649,0.006653465671177171,0.514469218551718
1378,bmwi3guide,0.6855843119443186,1.700151096682789e-05,0.5141924843359805
1360,mnguyen_saa,0.6848323644431676,5.099777551430445e-06,0.5136255482767635
881,francismegahy,0.6844879067469626,9.393502472275727e-06,0.51336827843584
1374,genestanburge,0.6842997976257592,1.62474655573001e-06,0.5132252544059582
1098,bjbmotors,0.6841455113071483,6.035304970912278e-05,0.5131242217427885
669,hedgebz,0.6839158844346946,2.486516069301215e-05,0.5129431296161943
656,bestfamoustoys,0.683692830012826,2.0936334296798096e-05,0.5127748565931937
190,designmuseum,0.6697893911429573,0.04156324834011407,0.5127328554422466
640,peugeotnewark,0.6834587591669049,7.012946164904548e-05,0.512611601740591
250,hondaireland,0.6826311056535712,0.0023640283416292737,0.5125643363255857
763,123design2,0.682764326729199,2.990650966764924e-05,0.5120807216743162
1259,derekfranks10,0.6826095482940049,2.337732180400243e-06,0.5119577456535487
67,ali_vetnar,0.6810819311354172,0.002976248733010276,0.5115555105348154
1489,frankyie__,0.6816765414058218,5.9248976721621745e-06,0.5112588872787843
1684,amzn_in_deals,0.681337996214077,1.7033472796944317e-05,0.511007755528757
1221,tvmarketingguy,0.6812963424411662,4.5856990625789125e-05,0.5109837210785311
1579,textingfido,0.6812322263535358,8.186115597695273e-05,0.5109446350541461
1328,veeoh,0.6811487895541336,3.113490947958109e-05,0.5108693758929701
878,pteng_2013,0.6808510948269478,5.986422911212664e-06,0.5106398177259387
1309,voiceofthehwy,0.680828699878506,4.915043179208195e-06,0.5106227536696742
677,samallenby,0.6807763417794213,4.220971716219862e-06,0.5105833115774949
1178,aureyioli,0.6806387496836297,6.557232939019705e-05,0.5104954553450698
1305,thefvguy,0.6804869702418112,3.5441695176800846e-06,0.5103661137237379
1,electrekco,0.5586587104369687,0.36464754497429713,0.5101559190713008
395,tdworldmag,0.679429754538325,0.002213035618735994,0.5101255748084278
35,shadyassosc,0.6793610542160583,0.0021737482889663076,0.5100642277342853
1552,apmarinaford,0.6797784956532821,2.8164614069547794e-06,0.5098345758553132
653,newsnet___,0.6793627331006666,0.0008444212872909232,0.5097331551473228
1230,sturgesstrevor,0.6794341816958629,2.6946079932122814e-06,0.5095763099238955
1428,eod_outdoors,0.6789736778294796,1.938306292833046e-05,0.5092351041378418
961,calver_amanda,0.6788378544286868,6.778312278346403e-06,0.5091300853995847
1103,taz__x,0.6783410783151714,0.0001836885965887101,0.5088017308855258
1281,_jst4rk,0.6778932081042358,6.098187344018395e-06,0.5084214306250129
1293,outfrontparts,0.6777832020076814,1.7828257499420874e-06,0.5083378472121985
1079,vusace_,0.6777001366668431,0.00017014998495391379,0.5083176399963709
908,jef_poskanzer,0.6771018959924086,1.1887732502390722e-05,0.507829393927432
950,carexamer,0.6768279543075403,2.029240881398781e-05,0.5076260388328587
